cat_id,type,age,gender,size,coat,breed,user_id,rating
46743754,Cat,Adult,Female,Medium,Short,Domestic Short Hair,12631,2.49
46750373,Cat,Baby,Female,Medium,Short,Domestic Short Hair,3747,4.4
46722526,Cat,Baby,Male,Small,Short,Domestic Short Hair,9182,2.11
46725832,Cat,Baby,Male,Medium,Short,Domestic Short Hair,1092,3.43
46728797,Cat,Baby,Female,Small,Short,Domestic Short Hair,8769,3.49
46721675,Cat,Adult,Male,Medium,Short,Domestic Short Hair,2678,3.2
46740453,Cat,Young,Male,Medium,Short,Domestic Short Hair,3653,5.0
46738397,Cat,Baby,Male,Medium,Short,Domestic Short Hair,10823,4.5
46731826,Cat,Young,Female,Medium,Short,Domestic Short Hair,1490,2.55
46744385,Cat,Baby,Male,Small,Short,Domestic Short Hair,9469,1.6
46738943,Cat,Baby,Male,Small,Short,Domestic Short Hair,2069,3.89
46724015,Cat,Adult,Female,Medium,Short,Domestic Short Hair,8961,2.56
46730766,Cat,Adult,Male,Medium,Short,Domestic Short Hair,9159,3.34
46735246,Cat,Baby,Male,Small,Short,Domestic Short Hair,5565,4.12
46741293,Cat,Adult,Female,Small,Short,Domestic Short Hair,1707,3.5
46731246,Cat,Adult,Male,Large,Short,Domestic Short Hair,7123,2.1
46739906,Cat,Baby,Male,Small,Short,Domestic Short Hair,10161,3.97
46734776,Cat,Adult,Female,Medium,Short,Domestic Short Hair,1816,3.43
46746905,Cat,Adult,Male,Small,Short,Domestic Short Hair,5637,2.87
46727160,Cat,Baby,Male,Small,Short,Domestic Short Hair,12388,1.44
46741688,Cat,Baby,Male,Small,Short,Domestic Short Hair,4505,4.24
46743628,Cat,Adult,Female,Medium,Short,Domestic Short Hair,10648,2.47
46745279,Cat,Baby,Female,Medium,Short,Domestic Short Hair,1524,2.96
46739908,Cat,Baby,Female,Small,Short,Domestic Short Hair,10067,3.44
46722730,Cat,Baby,Female,Small,Short,Domestic Short Hair,1490,4.58
46728239,Cat,Baby,Male,Small,Short,Domestic Short Hair,3683,3.92
46746542,Cat,Young,Female,Small,Short,Domestic Short Hair,10079,3.86
46742499,Cat,Baby,Female,Medium,Short,Domestic Short Hair,392,3.17
46733217,Cat,Baby,Female,Small,Short,Domestic Short Hair,8108,3.45
