cat_id,type,age,gender,size,coat,breed,user_id,rating
46744842,Cat,Adult,Female,Medium,Short,Abyssinian,11355,1.74
46717321,Cat,Adult,Male,Extra Large,Short,Abyssinian,2127,1.88
46626338,Cat,Senior,Female,Medium,Short,Abyssinian,14219,2.12
46620170,Cat,Baby,Female,Small,Short,Abyssinian,8356,3.47
46582751,Cat,Young,Female,Medium,Short,Abyssinian,8029,3.34
46503423,Cat,Young,Male,Medium,Short,Abyssinian,10837,3.1
46499754,Cat,Adult,Female,Medium,Short,Abyssinian,10590,5.0
46463847,Cat,Adult,Male,Medium,Short,Abyssinian,8933,5.0
46434624,Cat,Baby,Female,Small,Short,Abyssinian,7248,3.09
46378434,Cat,Baby,Male,Small,Short,Abyssinian,14127,3.32
46372312,Cat,Baby,Male,Small,Short,Abyssinian,12513,3.33
46305208,Cat,Senior,Male,Medium,Short,Abyssinian,4234,4.58
46301725,Cat,Adult,Female,Medium,Short,Abyssinian,416,1.71
46293180,Cat,Young,Male,Small,Short,Abyssinian,10332,3.2
46268318,Cat,Baby,Female,Medium,Short,Abyssinian,7280,4.32
46267273,Cat,Adult,Female,Medium,Short,Abyssinian,4752,4.04
46267252,Cat,Adult,Male,Medium,Short,Abyssinian,14661,3.87
46267206,Cat,Adult,Female,Medium,Short,Abyssinian,14691,3.11
46262849,Cat,Adult,Female,Medium,Short,Abyssinian,12218,2.17
46259475,Cat,Young,Male,Medium,Short,Abyssinian,2112,2.99
46251119,Cat,Baby,Male,Medium,Short,Abyssinian,3846,2.34
46226177,Cat,Senior,Female,Small,Short,Abyssinian,5273,3.52
46167255,Cat,Young,Male,Small,Short,Abyssinian,1993,3.74
46141437,Cat,Young,Female,Medium,Short,Abyssinian,5624,3.22
46105561,Cat,Baby,Female,Medium,Short,Abyssinian,14007,3.61
46105551,Cat,Baby,Male,Medium,Short,Abyssinian,6249,2.43
46066046,Cat,Adult,Female,Medium,Short,Abyssinian,12491,3.67
46004141,Cat,Baby,Female,Medium,Short,Abyssinian,12965,5.0
46003742,Cat,Adult,Female,Medium,Short,Abyssinian,6957,2.53
46004079,Cat,Baby,Female,Medium,Short,Abyssinian,4194,3.71
46003832,Cat,Baby,Female,Medium,Short,Abyssinian,4083,2.7
46003585,Cat,Adult,Female,Medium,Short,Abyssinian,10988,3.87
46003116,Cat,Baby,Male,Medium,Short,Abyssinian,11540,3.48
46002529,Cat,Baby,Female,Medium,Short,Abyssinian,6475,1.78
46002278,Cat,Baby,Female,Medium,Short,Abyssinian,9180,1.88
46002248,Cat,Young,Female,Medium,Short,Abyssinian,9664,4.55
46002027,Cat,Baby,Male,Medium,Short,Abyssinian,4128,3.24
46001966,Cat,Baby,Male,Medium,Short,Abyssinian,1140,2.78
