cat_id,age,gender,size,breed,user_id,rating
46743754,Adult,Female,Medium,Domestic Short Hair,12631,2.49
46750373,Baby,Female,Medium,Domestic Short Hair,3747,4.4
46722526,Baby,Male,Small,Domestic Short Hair,9182,2.11
46725832,Baby,Male,Medium,Domestic Short Hair,1092,3.43
46728797,Baby,Female,Small,Domestic Short Hair,8769,3.49
46721675,Adult,Male,Medium,Domestic Short Hair,2678,3.2
46740453,Young,Male,Medium,Domestic Short Hair,3653,5.0
46738397,Baby,Male,Medium,Domestic Short Hair,10823,4.5
46731826,Young,Female,Medium,Domestic Short Hair,1490,2.55
46744385,Baby,Male,Small,Domestic Short Hair,9469,1.6
46738943,Baby,Male,Small,Domestic Short Hair,2069,3.89
46724015,Adult,Female,Medium,Domestic Short Hair,8961,2.56
46730766,Adult,Male,Medium,Domestic Short Hair,9159,3.34
46735246,Baby,Male,Small,Domestic Short Hair,5565,4.12
46741293,Adult,Female,Small,Domestic Short Hair,1707,3.5
46731246,Adult,Male,Large,Domestic Short Hair,7123,2.1
46739906,Baby,Male,Small,Domestic Short Hair,10161,3.97
46734776,Adult,Female,Medium,Domestic Short Hair,1816,3.43
46746905,Adult,Male,Small,Domestic Short Hair,5637,2.87
46727160,Baby,Male,Small,Domestic Short Hair,12388,1.44
46741688,Baby,Male,Small,Domestic Short Hair,4505,4.24
46743628,Adult,Female,Medium,Domestic Short Hair,10648,2.47
46745279,Baby,Female,Medium,Domestic Short Hair,1524,2.96
46739908,Baby,Female,Small,Domestic Short Hair,10067,3.44
46722730,Baby,Female,Small,Domestic Short Hair,1490,4.58
46728239,Baby,Male,Small,Domestic Short Hair,3683,3.92
46746542,Young,Female,Small,Domestic Short Hair,10079,3.86
46742499,Baby,Female,Medium,Domestic Short Hair,392,3.17
46733217,Baby,Female,Small,Domestic Short Hair,8108,3.45
46745825,Baby,Male,Small,Domestic Short Hair,11461,3.35
46740206,Young,Female,Small,Domestic Short Hair,14744,3.09
46734516,Young,Male,Small,Domestic Short Hair,14555,3.42
46745462,Baby,Male,Small,Domestic Short Hair,608,2.51
46745594,Young,Female,Medium,Domestic Short Hair,3366,3.76
46744523,Senior,Male,Medium,Domestic Short Hair,4959,3.27
46738295,Baby,Male,Medium,Domestic Short Hair,61,2.99
46744442,Adult,Female,Small,Domestic Short Hair,8740,4.6
46739709,Baby,Male,Small,Domestic Short Hair,11542,3.58
46733258,Baby,Male,Small,Domestic Short Hair,4789,2.76
46728554,Adult,Female,Medium,Domestic Short Hair,8396,4.82
46728745,Baby,Male,Medium,Domestic Short Hair,11815,3.86
46741528,Baby,Male,Small,Domestic Short Hair,11957,3.5
46731386,Adult,Female,Medium,Domestic Short Hair,4697,5.0
46737581,Young,Female,Large,Domestic Short Hair,12717,2.61
46729350,Baby,Male,Small,Domestic Short Hair,14831,1.94
46737496,Young,Female,Medium,Domestic Short Hair,1641,5.0
46739204,Senior,Female,Large,Domestic Short Hair,8903,2.68
46750723,Young,Male,Small,Domestic Short Hair,4898,3.98
46745611,Adult,Female,Small,Domestic Short Hair,14854,4.46
46743507,Young,Female,Medium,Domestic Short Hair,12405,3.15
46722893,Baby,Male,Medium,Domestic Short Hair,7262,3.88
46740152,Adult,Female,Medium,Domestic Short Hair,10156,2.65
46721615,Young,Male,Small,Domestic Short Hair,13502,5.0
46732119,Adult,Male,Small,Domestic Short Hair,1543,3.37
46733213,Baby,Female,Small,Domestic Short Hair,6707,3.48
46737364,Baby,Male,Small,Domestic Short Hair,341,4.94
46721210,Baby,Male,Small,Domestic Short Hair,11686,4.5
46721508,Baby,Male,Medium,Domestic Short Hair,4405,2.83
46728216,Young,Male,Small,Domestic Short Hair,5679,2.73
46737478,Baby,Male,Small,Domestic Short Hair,13594,4.05
46733256,Baby,Female,Small,Domestic Short Hair,10255,4.43
46723735,Baby,Male,Medium,Domestic Short Hair,12654,3.32
46733100,Young,Male,Small,Domestic Short Hair,4104,5.0
46726879,Baby,Female,Medium,Domestic Short Hair,10771,2.39
46734247,Baby,Female,Medium,Domestic Short Hair,13237,2.55
46741936,Adult,Male,Small,Domestic Short Hair,7309,3.98
46743854,Young,Male,Large,Domestic Short Hair,3260,1.89
46728845,Adult,Female,Small,Domestic Short Hair,13626,2.59
46748124,Adult,Female,Medium,Domestic Short Hair,11488,4.3
46722701,Baby,Male,Small,Domestic Short Hair,1526,2.88
46724539,Adult,Female,Large,Domestic Short Hair,8552,3.52
