Unnamed: 0,type,age,gender,size,coat,breed
3,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Shorthair,Abyssinian
7,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
11,Abyssinian,American Curl,American Bobtail,American Curl,American Shorthair,Abyssinian
12,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
13,Abyssinian,American Shorthair,American Bobtail,American Shorthair,American Shorthair,Abyssinian
14,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,Abyssinian
15,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
16,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
18,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
21,Abyssinian,American Curl,Abyssinian,American Shorthair,American Shorthair,Abyssinian
24,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,Abyssinian
25,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,Abyssinian
26,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
74,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
75,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,Abyssinian
84,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
86,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,Abyssinian
88,Abyssinian,American Shorthair,American Bobtail,American Curl,American Bobtail,Abyssinian
89,Abyssinian,American Curl,Abyssinian,American Curl,American Shorthair,Abyssinian
90,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
91,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,Abyssinian
92,Abyssinian,American Curl,American Bobtail,American Bobtail,American Shorthair,Abyssinian
93,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Shorthair,Abyssinian
94,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
96,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Shorthair,Abyssinian
97,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,Abyssinian
99,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
102,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
103,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,Abyssinian
104,Abyssinian,American Curl,Abyssinian,American Curl,American Shorthair,Abyssinian
105,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
106,Abyssinian,Abyssinian,American Bobtail,American Shorthair,American Shorthair,Abyssinian
107,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
108,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,Abyssinian
109,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
110,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,Abyssinian
111,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
112,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,Abyssinian
113,Abyssinian,American Curl,American Bobtail,American Bobtail,American Shorthair,Abyssinian
114,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
116,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
